,기업명,제목,LABEL
9,뷰노,"크래프트테크놀로지스, NIA '국내 AI 스타트업 톱10' 선정",
0,나노씨엠에스,공모주의 배신?...상장후 '따상'이더니 수익률은 '글쎄',
0,씨이랩,"씨이랩, 글로벌 인공지능 영상분석 플랫폼 보유 업체",
1,씨이랩,[시그널] 연휴 직후 IPO 위크 온다···4개사 동시 청약 돌입,
2,씨이랩,"""공모주 투자해볼까""… 설 연휴 이후 주목할 '상장 신입생'",
0,뷰노,"뷰노, 글로벌 의료부문 인공지능(AI) 선도기업",
1,뷰노,[시그널] 연휴 직후 IPO 위크 온다···4개사 동시 청약 돌입,
2,뷰노,"""공모주 투자해볼까""… 설 연휴 이후 주목할 '상장 신입생'",
3,뷰노,"유비케어, 2020년 영업이익 증가에도 아쉬운 성적표",
0,프레스티지바이오로직스,"[마켓인사이트]프레스티지바이오로직스, 수요예측 저조에도 공모가 상단 결정",
1,프레스티지바이오로직스,[증시캘린더]이번주(3월 1주) SK바이오사이언스 수요예측 등,
2,프레스티지바이오로직스,"[지난주 제약업계 주요이슈]EMA, 셀트리온 ‘렉키로나’ 품목허가 검토…‘라...",
0,씨이랩,"[마켓인사이트]씨이랩, 수요예측 흥행 성공... 공모가 상단 초과 '3만5000원'",
1,씨이랩,"[알려株] 씨이랩, NVIDIA의 국내 유일 SW공급 파트너",
2,씨이랩,"[마켓인사이트]씨이랩, 뷰노 등 5곳 줄줄이 청약...'공모주 슈퍼위크'",
3,씨이랩,[이번주 증시 캘린더]유일에너테크·오로스테크놀로지 등 4곳 동시 청약,
4,씨이랩,[코스닥 주간메모] 2월 15일(월) ~ 2월 16일(화),
5,씨이랩,"[투자노트] '균등배분' 공모주 청약, 연초를 노려라",
6,씨이랩,오늘의 증시 메모[2월 16일],
0,뷰노,뷰노·유일에너테크…2월 기대 모으는 공모주,
1,뷰노,"뷰노, ""글로벌 '의료 AI' 선도기업으로 도약한다""",
2,뷰노,"코스닥 상장 앞둔 뷰노, AI헬스케어 분야 기대감 물씬",
3,뷰노,인공지능으로 질병을 조기 발견한다…뷰노 김현준 대표,
4,뷰노,"[더벨]'뷰노·씨이랩' 수요예측, SK바이오사이언스 3월 공모",
5,뷰노,"""새내기株 투자해볼까""...설연휴 이후 주목할 공모주는",
6,뷰노,국내 10대 AI 스타트업 속 의료 기업 면면 살펴보니,
7,뷰노,쉬어가는 공모주간...균등배정 다시보자,
8,뷰노,[장외주식] 카카오뱅크 5거래일 연속 상승,
9,뷰노,4차 의료산업 핵심 VR·AR...올해 가이드라인 나온다,
0,뷰노,"[IPO 돋보기]뷰노, 의료 인공지능(AI) 업체",
1,뷰노,의료·AI·소부장 골라잡아…넘치는 공모주 청약일정,
2,뷰노,"1,000대 1 넘어선 뜨거운 경쟁률... 설 이후 IPO 기대주는?",
3,뷰노,2월 셋째주 공모주 청약 일정은,
4,뷰노,[증시캘린더]이번주(2월 3주) 피엔에이치테크 코스닥 신규상장 등,
0,나노씨엠에스,나노씨엠에스 공모가 2만원 확정…상단 초과,
1,나노씨엠에스,"나노씨엠에스, 공모가 2만원 확정",
2,나노씨엠에스,"[마켓인사이트]나노씨엠에스, 수요예측 경쟁률 1296 대 1... 공모가 상단 초과",
3,나노씨엠에스,"[IPO] 나노씨엠에스, 공모가 2만원 확정...수요예측 경쟁률 1295.75대 1",
4,나노씨엠에스,"[IB토마토]나노씨엠에스, 공모가 2만원 확정…수요예측 ‘흥행’",
5,나노씨엠에스,"나노씨엠에스 코스닥 상장추진, 공모가 2만원 확정…25∼26일 청약",
6,나노씨엠에스,"[장외시황] LG CNS, 사상 최고가 마감…비상장 주식 3일 연속 상승",
7,나노씨엠에스,오늘의 증시 메모[2월 26일],
8,나노씨엠에스,오늘의 증시 일정 (2월 26일),
9,나노씨엠에스,[장외주식] 엔쓰리엔 상승세,
0,오로스테크놀로지,패스트트랙 타고 소·부·장 'IPO 러시',
1,오로스테크놀로지,"""새내기株 투자해볼까""...설연휴 이후 주목할 공모주는",
2,오로스테크놀로지,"[더벨]'뷰노·씨이랩' 수요예측, SK바이오사이언스 3월 공모",
3,오로스테크놀로지,쉬어가는 공모주간...균등배정 다시보자,
0,프레스티지바이오로직스,프레스티지바이오로직스 공모가 1만2천400원…3월 2∼3일 청약,
1,프레스티지바이오로직스,'공모주' 네오이뮨텍·프레스티지바이오로직스…기관 반응 '뜨거워',
2,프레스티지바이오로직스,무역협회 상근부회장에 이관섭 전 차관...네오이뮨텍-프레스티바이오로직스 공...,
3,프레스티지바이오로직스,"바이오 따라 출렁이는 코스닥, '3월 반전' 노린다",
4,프레스티지바이오로직스,악재로 '주춤' 제약·바이오株…3월 IPO 큰장에 투심 회복 기대감,
5,프레스티지바이오로직스,'피비파마' 종목명 다시 원상태로…규정 살펴보니,
6,프레스티지바이오로직스,[시그널] 증시 조정에도 식지 않는 공모주 열풍,
7,프레스티지바이오로직스,내달 기업 공개 큰장…10개 기업 공모 나선다,
8,프레스티지바이오로직스,[장외주식] 엔쓰리엔 상승세 지속,
9,프레스티지바이오로직스,"[장외시황] 카카오뱅크, 5주 최고가 기록…LG CNS 사상 최고가 유지",
0,씨이랩,씨이랩 공모가 3만5천원…15∼16일 공모 청약,
1,씨이랩,씨이랩 공모가 3만5천 원…15∼16일 공모 청약,
2,씨이랩,"씨이랩, 공모가 3만5천원 결정…""공모밴드 초과""",
3,씨이랩,"[IPO] 씨이랩, 공모가 3만5000원 확정... 수요예측 경쟁률 1371.4대 1 기록",
4,씨이랩,"[IB토마토]씨이랩, 공모가 3만5000원…희망가 상단 초과",
5,씨이랩,"씨이랩, 수요예측 공모가 35,000원… 공모밴드 초과 결정",
6,씨이랩,"씨이랩, 수요예측 공모가 3만5000원",
7,씨이랩,"설 연휴 이후에도 'IPO' 열기 지속…""옥석가리기 중요""",
8,씨이랩,‘소확행’ 된 공모주 시장…코넥스 전학생 노려볼까,
9,씨이랩,"[금일 증권업계 주요기사] ""현대차 아니면 폭스바겐"" 애플 선택은?...코스닥 ...",
0,프레스티지바이오로직스,오송 프레스티지바이오로직스 공모청약,
1,프레스티지바이오로직스,[증시 캘린더]프레스티지바이오로직스·네오이뮨텍 등 공모주 청약,
2,프레스티지바이오로직스,[IPO 광장]'大魚' SK바이오사이언스 공모가 얼마?…백신업고 흥행예고,
3,프레스티지바이오로직스,"제약·바이오기업 IPO 점차 시동…3월, 5개 기업 상장 가시화",
4,프레스티지바이오로직스,공모청약 3월 첫째 주 3건 집중… SK바이오사이언스 초대박 기대,
5,프레스티지바이오로직스,"[더벨]프레스티지바이오 상장 초읽기, 잭팟 앞둔 DS운용",
6,프레스티지바이오로직스,오늘의 증시 일정 (3월 3일),
7,프레스티지바이오로직스,"[장외시황] 크래프톤ㆍLG CNS, 사상 최고가 기록…한국코러스 약세",
8,프레스티지바이오로직스,공모가 너도나도 올려…공모주 수익률 깎아먹어,
9,프레스티지바이오로직스,[장외주식] 크래프톤 신고가 경신,
0,뷰노,"뷰노, 수요예측 경쟁률 1457대 1로 흥행 성공",
1,뷰노,"[마켓인사이트]씨이랩, 뷰노 등 5곳 줄줄이 청약...'공모주 슈퍼위크'",
2,뷰노,"의료AI솔루션 '뷰노', 수요예측 흥행 성공…378억원 공모",
3,뷰노,[이번주 증시 캘린더]유일에너테크·오로스테크놀로지 등 4곳 동시 청약,
4,뷰노,[장외주식] 카카오뱅크 상승세 지속,
5,뷰노,펄펄 나는 영상 기는 병리…디지털이 가른 명암,
6,뷰노,"[투자노트] '균등배분' 공모주 청약, 연초를 노려라",
7,뷰노,"[장외시황] 필로시스 10.53% 강세…제노코, 코스닥 상장 증권신고서 제출",
8,뷰노,오늘의 증시 일정 (2월 16일),
9,뷰노,오늘의 증시 메모[2월 16일],
0,프레스티지바이오로직스,시총 5조 IPO대어…SK바이오사이언스 청약 균등배분 영향은,
1,프레스티지바이오로직스,3월 공모주시장도 뜨거울까···SK바이오사이언스 등 출격,
2,프레스티지바이오로직스,"“희망밴드 상단에”…상장 앞둔 바이오기업, 수요예측 ‘흥행’",
3,프레스티지바이오로직스,IPO 대박 앞두고 고민에 빠진 제약·바이오 업계,
4,프레스티지바이오로직스,"'코스피 신예' 피비파마, 관계사 협업으로 '제2 셀트리온' 꿈꾼다",
5,프레스티지바이오로직스,의약품 수탁생산 '큰 장'…대웅제약도 가세,
6,프레스티지바이오로직스,올해 공모주 평균 수익률 47%…레인보우로보틱스 147% '1위',
7,프레스티지바이오로직스,공모주의 배신?...상장후 '따상'이더니 수익률은 '글쎄',
0,씨이랩,의료·AI·소부장 골라잡아…넘치는 공모주 청약일정,
1,씨이랩,2월 셋째주 공모주 청약 일정은,
2,씨이랩,"1,000대 1 넘어선 뜨거운 경쟁률... 설 이후 IPO 기대주는?",
3,씨이랩,[증시캘린더]이번주(2월 3주) 피엔에이치테크 코스닥 신규상장 등,
0,프레스티지바이오로직스,"프레스티지바이오로직스, 공모가 상단 1만2400원 확정",
1,프레스티지바이오로직스,"프레스티지바이오로직스, 공모가 상단 1만2400원 확정",
2,프레스티지바이오로직스,3월에 SK바이오사이언스 공모주 청약…3월 공모 청약 기업 9곳 예정,
3,프레스티지바이오로직스,올해도 공모주 불티…청약 광풍 몰아친다,
0,씨이랩,2월 8일 출근전 체크할 주요 일정 / 현대차 재공시 마감일,
1,씨이랩,"올해 IPO 시장, 2017년 기록 넘어설까?",
0,싸이버원,"[마켓인사이트]'엇갈린 기관 투심' 프레스티지바이오-싸이버원, 나란히 청약 ...",
1,싸이버원,[시그널] 싸이버원·프레스티지바이오로직스 엇갈린 청약 투심,
2,싸이버원,"봄바람 탄 IPO ""3월 호황 지속""",
3,싸이버원,[장외주식] 엘지씨엔에스 신고가 경신,
4,싸이버원,희망공모가범위 넘는 '高발행가' 대세···SK바이오사이언스도?,
5,싸이버원,[코스닥 메모] (3일) 무상기준일=동구바이오제약 KMH 등,
6,싸이버원,3월 IPO 시장도 훈풍 예고…‘대어’ SK바이오사이언스 주목,
7,싸이버원,‘21년 만에’ 대기록 쓰는 3월 IPO…최다 상장ㆍ최대 공모 규모,
0,싸이버원,[증시캘린더]이번주(3월 1주) SK바이오사이언스 수요예측 등,
0,뷰노,"26일 상장 뷰노 ""생체신호·병리 데이터 적극 활용...글로벌 시장 집중""",
1,뷰노,"뷰노, 26일 코스닥 입성… ""글로벌 시장 적극 공략""",
2,뷰노,"[잇츠머니] 토스, 마켓컬리 주식 미리 사는 방법은?",
3,뷰노,"설 연휴 이후에도 'IPO' 열기 지속…""옥석가리기 중요""",
4,뷰노,[장외주식] 에스바이오메딕스 상승세,
5,뷰노,IPO시장으로 유동성 러시…2월도 기록갱신 전망,
6,뷰노,코로나 사태의 역설? ‘훈풍’ 부는 제약바이오 업계,
7,뷰노,[ICT] 세계가 주목하는 AI 스타트업 10곳은?,
0,프레스티지바이오로직스,"프레스티지바이오, 오버행·관계사 주가 하락에 흥행 부진 우려",
1,프레스티지바이오로직스,HLB發 악재에…IPO 앞둔 바이오株 '어쩌나',
2,프레스티지바이오로직스,제약‧바이오 바람타고 IPO 봇물…금융당국 예의주시,
3,프레스티지바이오로직스,"[더벨]'피비파마' 동생 마침내 출격, 네오이뮨텍 '관심'",
4,프레스티지바이오로직스,[장외주식] 한국코러스 신고가 경신,
5,프레스티지바이오로직스,"[아주증시포커스] 순매도에 나서는 기관, 뉴딜 관련주는 ‘매수’",
0,씨이랩,"10만원대로도 공모주 도전 가능, 설 이후 청약 일정은?",
1,씨이랩,설 이후 공모주 청약 줄줄이 대기,
2,씨이랩,[뜨거워진 IPO 시장] 연휴 이후 주목할만한 공모주는?,
0,싸이버원,SK바이오사이언스·네오이뮨텍…다음달 10곳 공모주 잔치,
0,씨이랩,"'밴드 훌쩍 넘겼다'..씨이랩, 공모가 3만5000원 확정",
1,씨이랩,"AI영상 기업 씨이랩, 공모가 3만5천원…15∼16일 공모청약",
2,씨이랩,"상장사 70%가 공모가 뻥튀기…개미들 ""손실 볼라"" [전예진의 공모주 투자]",
0,나노씨엠에스,[시그널] 증시 조정에도 식지 않는 공모주 열풍,
1,나노씨엠에스,[장외주식] 엔쓰리엔 상승세 지속,
2,나노씨엠에스,[코스닥 메모] (26일) 신규상장=뷰노 등,
3,나노씨엠에스,"[장외시황] 카카오뱅크, 5주 최고가 기록…LG CNS 사상 최고가 유지",
0,싸이버원,시총 5조 IPO대어…SK바이오사이언스 청약 균등배분 영향은,
1,싸이버원,3월 공모주시장도 뜨거울까···SK바이오사이언스 등 출격,
2,싸이버원,[코스닥 주간메모] 3월 2일(화) ~ 3월 5일(금),
3,싸이버원,올해 공모주 평균 수익률 47%…레인보우로보틱스 147% '1위',
4,싸이버원,공모주의 배신?...상장후 '따상'이더니 수익률은 '글쎄',
0,나노씨엠에스,"나노씨엠에스, 해외진출로 지속성장 전망…다음달 9일 코스닥 상장-유진증권",
1,나노씨엠에스,"[더벨]'피비파마' 동생 마침내 출격, 네오이뮨텍 '관심'",
2,나노씨엠에스,[장외주식] 한국코러스 신고가 경신,
0,바이오다인,"바이오다인, 블로윙 테크놀로지 앞세워 글로벌 시장 공략",
0,싸이버원,[마켓인사이트]싸이버원도 공모가 상단 초과..수요예측 1303대1,
1,싸이버원,"키움증권, IPO 실적부진 탈출 '시동'",
2,싸이버원,공모청약 3월 첫째 주 3건 집중… SK바이오사이언스 초대박 기대,
3,싸이버원,[IPO 광장]'大魚' SK바이오사이언스 공모가 얼마?…백신업고 흥행예고,
4,싸이버원,"아스트라제네카 위탁 생산 SK바이오사이언스, 올해 첫 조단위 기업공개",
5,싸이버원,[증시 캘린더]프레스티지바이오로직스·네오이뮨텍 등 공모주 청약,
6,싸이버원,오늘의 증시 일정 (3월 3일),
7,싸이버원,"'역대급 실적' 키움증권, 올해는 IPO도 '쾌속질주'",
8,싸이버원,2월 신규 상장 규모 8천억…IPO시장 열기 이어갈까,
9,싸이버원,오늘의 증시 메모[3월 3일],
0,씨이랩,"[더벨]'뷰노·씨이랩' 수요예측, SK바이오사이언스 3월 공모",
1,씨이랩,"""새내기株 투자해볼까""...설연휴 이후 주목할 공모주는",
2,씨이랩,쉬어가는 공모주간...균등배정 다시보자,
0,나노씨엠에스,[시그널] 나노씨엠에스 IPO 수요예측 흥행···공모가 2만원,
1,나노씨엠에스,[장외주식] 엘지씨엔에스 신고가 경신 랠리,
2,나노씨엠에스,오늘의 증시 일정 (2월 25일),
3,나노씨엠에스,오늘의 증시 메모[2월 25일],
0,싸이버원,"싸이버원, 공모가 9500원 확정…총 공모액 129억원",
1,싸이버원,싸이버원 공모가 9천500원…3월 2∼3일 청약,
2,싸이버원,정보 보안 업체 싸이버원 공모가 9천500원…3월 2∼3일 청약,
3,싸이버원,"싸이버원, 코스닥 공모가 상단 초과 '9500원' 확정",
4,싸이버원,"싸이버원 공모가 9천500원…""내달 2∼3일 청약""",
5,싸이버원,"[IPO] 싸이버원, 공모가 9500원 '상단 초과'...수요예측 경쟁률 1303대1",
6,싸이버원,싸이버원 공모가 9500원…3월 2∼3일 청약,
7,싸이버원,"[IB토마토]싸이버원, 공모가 9500원 확정…희망밴드 상단 초과",
8,싸이버원,"“싸이버원, 정보보안 시장 확대와 우호적인 정책 등으로 안정적 성장 전망”",
9,싸이버원,[시그널] 증시 조정에도 식지 않는 공모주 열풍,
0,싸이버원,"싸이버원, 공모가 상단 초과한 9500원 확정..""16년 연속 흑자""",
1,싸이버원,"[주목!e스몰캡]싸이버원, 정부가 키우는 정보보호산업의 수혜자",
2,싸이버원,싸이버원 공모가 9500원…내달 2~3일 청약,
3,싸이버원,올해도 공모주 불티…청약 광풍 몰아친다,
4,싸이버원,SK바이오사이언스 다음주 IPO 공모 돌입···청약 열기 잇는다,
5,싸이버원,3월에 SK바이오사이언스 공모주 청약…3월 공모 청약 기업 9곳 예정,
0,프레스티지바이오로직스,"이름 되찾은 프레스티지바이오파마, 상장 형제 시너지 박차",
1,프레스티지바이오로직스,"지지부진 제약·바이오주, 3월 훈풍 예고",
2,프레스티지바이오로직스,SK바이오사이언스·네오이뮨텍…다음달 10곳 공모주 잔치,
3,프레스티지바이오로직스,숨 고르기 중인 제약·바이오주…3월 호재로 기대감 'UP',
4,프레스티지바이오로직스,제약·바이오 IPO 시장 다시 ‘후끈’…대어급 상장 준비 ‘이상무’,
5,프레스티지바이오로직스,[오늘의 토막뉴스] 제약·바이오 IPO 시장 다시 ‘후끈’…대어급 상장 준비...,
6,프레스티지바이오로직스,'대어급 줄대기' 3월 IPO 큰 장 선다,
7,프레스티지바이오로직스,[장외주식] 엔쓰리엔 상승세,
8,프레스티지바이오로직스,"[장외시황] LG CNS, 사상 최고가 마감…비상장 주식 3일 연속 상승",
9,프레스티지바이오로직스,"[금일 제약업계 주요기사]""신약에서 콜드체인까지"", 뉴지랩 아리제약 인수......",
0,바이오다인,"바이오다인, 블로윙 기술로 글로벌 시장 정조준",
1,바이오다인,[코스닥 메모] (9일) 변경상장=한류타임즈→스포츠서울(상호변경) 등,
0,나노씨엠에스,"위조방지 소재기업 나노씨엠에스, 내달 코스닥 입성",
1,나노씨엠에스,"[IPO] 나노씨엠에스, 내달 코스닥 상장...""글로벌 시장 확대 초석""",
2,나노씨엠에스,"나노씨엠에스, 포트폴리오 다변화로 글로벌 보안소재 기업 도약",
3,나노씨엠에스,"[IPO] 위조 방지 소재 제조기업 나노씨엠에스, 내달 상장",
4,나노씨엠에스,[IB토마토](IPO현장)나노씨엠에스 “글로벌 시장 확대 초석으로 삼을 것”,
5,나노씨엠에스,[IPO 광장] AI기업 씨이랩·뷰노 등 4개사 코스닥 상장,
6,나노씨엠에스,"[이번주 증시 캘린더]오로스테크놀로지·뷰노 등 4개사, 코스닥 시장에 상장한...",
7,나노씨엠에스,[장외시황] 카카오 계열사 ‘야나두’ 주관사 선정…내년 목표 상장 절차 돌입,
8,나노씨엠에스,[장외주식] 기업공개(IPO)종목 조정 지속,
9,나노씨엠에스,"[IPO] 2월 넷째주 일정…뷰노 신규 상장, 네오이뮨텍·프리스티지바이오로직스...",
0,뷰노,"10만원대로도 공모주 도전 가능, 설 이후 청약 일정은?",
1,뷰노,설 이후 공모주 청약 줄줄이 대기,
2,뷰노,[뜨거워진 IPO 시장] 연휴 이후 주목할만한 공모주는?,
0,싸이버원,"IPO 대어 `SK바이오사이언스` 출격…3월 IPO, 흥행할까",
0,프레스티지바이오로직스,코스닥 상장 앞둔 프레스티지바이오로직스 “사명 변경 없다”,
1,프레스티지바이오로직스,"프레스티지바이오파마, 종목명 피비파마에서 '프레스티지바이오파마'로 변경",
2,프레스티지바이오로직스,"피비파마, 내달 2일 종목명 ‘프레스티지바이오파마’로 변경",
3,프레스티지바이오로직스,"[수요예측 승부수] 프레스티지바이오로직스, 피비파마 부진 불똥튈까?",
4,프레스티지바이오로직스,"YG PLUS, 지난해 영업익 61억원...피비파마, 종목명 '프레스티지바이오파마'로...",
5,프레스티지바이오로직스,"IPO 대어 `SK바이오사이언스` 출격…3월 IPO, 흥행할까",
6,프레스티지바이오로직스,숨 고르기하는 IPO 시장…3월 큰 장 선다,
7,프레스티지바이오로직스,[장외주식] 엘지씨엔에스 신고가 경신 랠리,
8,프레스티지바이오로직스,"제약사 관심 더 높아진 CDMO, 열풍까지 이어질까?",
9,프레스티지바이오로직스,"[장외시황] 큐라티스, 코로나19 치료제 ‘스푸트니크V’ 컨소 포함…2일 연속...",
0,바이오다인,"바이오다인, 글로벌 Top-tier 빅파마가 선택한 LBC 기술 보유 기업",
1,바이오다인,'몸값 5조' SK바이오사이언스 등 3곳 청약,
2,바이오다인,'대어' SK바이오사이언스 일반청약…투자포인트 3가지,
3,바이오다인,[증시캘린더]이번주(3월 2주) SK바이오사이언스 공모청약 등,
0,바이오다인,"[마켓인사이트]바이오다인, IPO 수요예측 흥행... 공모가 3만원 확정",
1,바이오다인,[IPO 광장] '대어' SK바이오사이언스 9~10일 청약…얼마나 몰릴까,
2,바이오다인,'SK바이오사이언스의 달'…IPO 화려한 조연 노리는 K바이오,
3,바이오다인,"'흐름 탔다'···헬스케어·바이오, 글로벌 협업·IPO 러시",
4,바이오다인,[이번주 증시 캘린더]널스피에 지친 동학개미 쏟아질까...'SK바사' 공모주 청...,
5,바이오다인,[유가증권 주간메모] 3월 8일(월) ~ 3월 10일(수),
6,바이오다인,오늘의 증시 일정 (3월 9일),
7,바이오다인,오늘의 증시 메모[3월 9일],
0,바이오다인,바이오다인 공모가 3만원 결정…8∼9일 공모 청약,
1,바이오다인,"바이오다인, 공모가 상단 초과 3만원 결정...경쟁률 1365 대 1",
2,바이오다인,"바이오다인, 공모가 상단 초과 30,000원 결정",
3,바이오다인,"바이오다인, 공모가 3만원으로 결정…17일 코스닥 상장 예정",
4,바이오다인,"바이오다인, 수요예측 공모가 3만원…오는 17일 코스닥 상장",
5,바이오다인,라이프시맨틱스·바이오다인·제이시스메디칼…'대박' 예감 이유는?,
6,바이오다인,"“차별화된 기술력 통해 성장할 것”…바이오다인, 공모가 3만원 결정",
7,바이오다인,"바이오다인, 공모가 상단 초과 30,000원 결정, 경쟁률 1,365 대 1 기록",
8,바이오다인,"바이오다인, 공모가 3만원 확정···이달 17일 코스닥 입성",
9,바이오다인,[장외주식] 현대엔지니어링 상승,
0,바이오다인,"암 진단기기 업체 바이오다인, 이달 코스닥 입성",
1,바이오다인,아모센스·바이오다인·네오이뮨텍…기대되는 공모주,
2,바이오다인,"[IPO] 바이오다인, 이달 상장...""체외진단 시장 영역 확대""",
3,바이오다인,바이오다인 이달 코스닥 상장...“AI 진단 시스템 선보일 것”,
4,바이오다인,"바이오다인, 코스닥 입성…""8~9일 일반 공모 청약""",
5,바이오다인,"[IPO 간담회] 바이오다인, ""최고의 암 치료는 조기진단""",
6,바이오다인,[더벨]'조단위 공모' SK바이오사이언스 출격…상단 가능할까,
7,바이오다인,"""SK바이오사이언스만은 피하자""… IPO 기업들 일정짜기 고민",
8,바이오다인,"[금일 증권업계 주요기사] ""한국 증시 주목하라"" 칼라일·KKR·블랙스톤 '한 ...",
9,바이오다인,[시그널] IPO 호황에···꿩먹고 알먹는 상장전 지분투자,
0,라이프시맨틱스,"라이프시맨틱스, 청약 경쟁률 1774.57대 1 ‘흥행 성공’",
1,라이프시맨틱스,금리·물가 불안해도 시중 자금은 증시로,
2,라이프시맨틱스,넘치는 유동성… 중기 IPO 수요예측 대박 행진,
3,라이프시맨틱스,'넘치는 유동성' IPO 기업들 수요예측 초대박 …경쟁률 최고치 또 경신,
0,바이오다인,[IPO 광장]'大魚' SK바이오사이언스 공모가 얼마?…백신업고 흥행예고,
1,바이오다인,"아스트라제네카 위탁 생산 SK바이오사이언스, 올해 첫 조단위 기업공개",
2,바이오다인,"제약·바이오기업 IPO 점차 시동…3월, 5개 기업 상장 가시화",
3,바이오다인,2월 신규 상장 규모 8천억…IPO시장 열기 이어갈까,
0,라이프시맨틱스,"라이프시맨틱스, 청약 경쟁률 1774.57대 1 흥행",
1,라이프시맨틱스,"라이프시맨틱스, 디지털헬스케어 시장 확대와 수혜 있을 것",
2,라이프시맨틱스,"[주목! e기술] ‘디지털치료제’, 만성질환 치료 새길 열린다",
0,라이프시맨틱스,"라이프시맨틱스, 청약 경쟁률 1774대 1 기록",
1,라이프시맨틱스,"라이프시맨틱스, 청약 경쟁률 1,774.57대 1",
2,라이프시맨틱스,"라이프시맨틱스, 청약 경쟁률 1,774.57대 1.. 증거금 약 2조 7,727억원",
3,라이프시맨틱스,"라이프시맨틱스, 청약 경쟁률 1,774.57대 1 '흥행 성공'",
4,라이프시맨틱스,라이프시맨틱스 청약 경쟁률 1774.57대 1…이달 말 코스다 상장,
5,라이프시맨틱스,"SK바이오사이언스 환불금 63조원, 향방은?",
6,라이프시맨틱스,SK바이오사이언스發 공모주 투자 열풍 확산될까,
7,라이프시맨틱스,SK바사 역대 흥행 성공에 중소형 상장주 '방긋',
8,라이프시맨틱스,[장외주식] 게임업체 크래프톤 신고가 경신,
9,라이프시맨틱스,"[장외시황] 크래프톤, 사상 최고가 기록…에이치피오 증권신고서 제출",
0,라이프시맨틱스,"라이프시맨틱스, 공모가 12,500원 '상단' 확정",
1,라이프시맨틱스,SK바이오사이언스는 지나갔고…중복청약 막차 공모주는?,
2,라이프시맨틱스,"라이프시맨틱스, 공모가 12,500원 확정",
3,라이프시맨틱스,[장외주식] 기업공개(IPO)종목 조정,
4,라이프시맨틱스,오늘의 증시 메모[3월 12일],
5,라이프시맨틱스,오늘의 증시 일정 (3월 12일),
0,라이프시맨틱스,라이프시맨틱스 청약 경쟁률 1천774대 1…증거금 2.7조,
1,라이프시맨틱스,"[마켓인사이트]라이프시맨틱스, 공모가 1만2500원 상단 확정",
2,라이프시맨틱스,"글로벌 CEO 76% ""올해 세계 경제 회복""...라이프시맨틱스, 청약 경쟁률 1774....",
3,라이프시맨틱스,제약바이오 줄줄이 IPO 대기 중…SK바이오사이언스급 '대어'는?,
4,라이프시맨틱스,“SK바사 청약증거금 노려볼까”…대어 낙수효과 노리는 공모주들,
5,라이프시맨틱스,"'우리도 SK바사처럼'…제약바이오, 줄줄이 IPO 대기 중",
6,라이프시맨틱스,"[장외시황] 자이언트스텝ㆍ제노코, 15일 공모주 청약 진행",
7,라이프시맨틱스,싸이버원 상장 이틀차 '뒷심'…공모가 2배 임박,
0,라이프시맨틱스,라이프시맨틱스 공모가 1만2천500원…11∼12일 청약,
1,라이프시맨틱스,"라이프시맨틱스, 3월 말 코스닥 상장…공모가 1만2500원 확정",
2,라이프시맨틱스,"라이프시맨틱스, 공모가 1만2500원 ‘상단’ 확정...경쟁률 1402대 1",
3,라이프시맨틱스,"디지털 헬스 기업 라이프시맨틱스, 공모가 1만2500원 확정",
4,라이프시맨틱스,SK바이오사이언스·라이프시맨틱스…청약 경쟁률 '대박',
5,라이프시맨틱스,"라이프시맨틱스, 공모가 12,500원 '상단' 확정 ... 경쟁률 1,402대 1",
6,라이프시맨틱스,"라이프시맨틱스, 공모가 1만2500원 확정···3월 말 상장",
7,라이프시맨틱스,"라이프시맨틱스, 공모가 1만2,500원 ‘상단’ 확정",
8,라이프시맨틱스,오늘의 증시 메모[3월 11일],
9,라이프시맨틱스,오늘의 증시 일정 (3월 11일),
0,와이더플래닛,"[더벨]프레스티지바이오파마, IPO 수요예측 출격",
1,와이더플래닛,지난해 AI 기업 '따따상' 등 주가 급등세 타고 AI·데이터·로봇 올해 상장 '...,
2,와이더플래닛,"[시그널人] ""투자 기업 대박... 코로나가 VC 위상 더 높였죠""",
3,와이더플래닛,"""8조원 IPO 시장 잡아라""...미래에셋·NH투자·한투 '수성' 할까",
0,와이더플래닛,와이더플래닛 공모가 1만6천원…25∼26일 청약,
1,와이더플래닛,"와이더플래닛, 공모가 상단 초과한 1만6000원 확정…경쟁률 1449대 1 기록",
2,와이더플래닛,"와이더 플래닛 공모가 확정…""1만 6천원""",
3,와이더플래닛,와이더플래닛 공모가 1만6천 원…25∼26일 청약,
4,와이더플래닛,"[더벨]와이더플래닛, 수요예측 흥행 평가…데이터테크 비전 증명",
5,와이더플래닛,데이터분석기업 코스닥 '똑똑',
6,와이더플래닛,"와이더플래닛, 공모가 상단 초과 '1만6000원'",
7,와이더플래닛,"[시그널] 레인보우로보틱스 수요예측 1,490대 1···역대 최고",
8,와이더플래닛,"2021년 첫 코스닥 입성자 엔비티, 공모주 청약 돌풍 이어갈까 | 스마트폰 열 ...",
9,와이더플래닛,"레인보우로보틱스 수요예측 1,489대1...경쟁률 사상 최고",
0,와이더플래닛,"[IB토마토]와이더플래닛, 공모가 1만6000원…경쟁률 1449대 1",
1,와이더플래닛,"와이더플래닛, 공모가 상단 초과한 16,000원 확정… 경쟁률 1,449대 1 기록",
